check,pass,detail
mapping_isotonic_y2025_h06_o2025-01_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h06_o2025-03_A_direct,True,
mapping_shift_y2025_h06_o2025-03_A_direct,True,
mapping_fit_rows_y2025_h06_o2025-03_B_direct,True,
mapping_shift_y2025_h06_o2025-03_B_direct,True,
mapping_fit_rows_y2025_h06_o2025-03_C_direct,True,
mapping_shift_y2025_h06_o2025-03_C_direct,True,
mapping_fit_rows_y2025_h06_o2025-03_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-03_D_residual_residual,True,
mapping_fit_rows_y2025_h06_o2025-03_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-03_D_residual_fallback_direct,True,
mapping_fit_rows_y2025_h06_o2025-04_A_direct,True,
mapping_shift_y2025_h06_o2025-04_A_direct,True,
mapping_fit_rows_y2025_h06_o2025-04_B_direct,True,
mapping_shift_y2025_h06_o2025-04_B_direct,True,
mapping_fit_rows_y2025_h06_o2025-04_C_direct,True,
mapping_shift_y2025_h06_o2025-04_C_direct,True,
mapping_fit_rows_y2025_h06_o2025-04_D_residual_residual,True,
mapping_isotonic_y2025_h06_o2025-04_D_residual_residual,True,
mapping_fit_rows_y2025_h06_o2025-04_D_residual_fallback_direct,True,
mapping_isotonic_y2025_h06_o2025-04_D_residual_fallback_direct,True,
mapping_fit_rows_y2026_h06_o2025-10_A_direct,True,
mapping_isotonic_y2026_h06_o2025-10_A_direct,True,
mapping_fit_rows_y2026_h06_o2025-10_B_direct,True,
mapping_isotonic_y2026_h06_o2025-10_B_direct,True,
mapping_fit_rows_y2026_h06_o2025-10_C_direct,True,
mapping_isotonic_y2026_h06_o2025-10_C_direct,True,
mapping_fit_rows_y2026_h06_o2025-10_D_direct_direct,True,
mapping_shift_y2026_h06_o2025-10_D_direct_direct,True,
