test_year,horizon,cohort,n_rows,n_areas,target_months,cohort_sha256,specification,status,reason,tp,fp,fn,tn,n,precision,precision_reason,recall,recall_reason,f1,f1_reason,f2,f2_reason,prevalence,accuracy,accuracy_reason,r2_q3,r2_q3_reason,predicted_prevalence,n_actual_phase1,n_pred_phase1,n_actual_phase2,n_pred_phase2,n_actual_phase3,n_pred_phase3,n_actual_phase4,n_pred_phase4,n_actual_phase5,n_pred_phase5,mean_q3_pred
2025,12,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,A,ok,,928.0,804.0,79.0,65.0,1876.0,0.535796766743649,,0.9215491559086395,,0.6776195691858342,,0.8055555555555556,,0.5367803837953091,0.48667377398720685,,-0.16738218953406836,,0.9232409381663113,31.0,0.0,838.0,144.0,919.0,1723.0,88.0,9.0,0.0,0.0,0.2688359119562007
2025,12,wider_labeled,1876,904,2025-04;2025-07;2025-09;2025-10,0feb5d4c0e199a45039e8d42a6a88ed0c7b6a8a0469f950a183f2eda1bf1e146,B,ok,,943.0,810.0,64.0,59.0,1876.0,0.537934968625214,,0.9364448857994042,,0.6833333333333333,,0.8156028368794326,,0.5367803837953091,0.488272921108742,,-0.1271693163263654,,0.9344349680170576,31.0,0.0,838.0,123.0,919.0,1748.0,88.0,5.0,0.0,0.0,0.2522534817806693
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,A,ok,,472.0,492.0,61.0,52.0,1077.0,0.4896265560165975,,0.8855534709193246,,0.6305945223780896,,0.7622739018087855,,0.4948932219127205,0.4215413184772516,,-0.19220328689341093,,0.8950789229340761,31.0,0.0,513.0,113.0,461.0,964.0,72.0,0.0,0.0,0.0,0.27025002081331106
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,B,ok,,483.0,502.0,50.0,42.0,1077.0,0.4903553299492386,,0.9061913696060038,,0.6363636363636364,,0.7747834456207893,,0.4948932219127205,0.4206128133704735,,-0.12865739566178536,,0.914577530176416,31.0,0.0,513.0,92.0,461.0,982.0,72.0,3.0,0.0,0.0,0.2476545744259931
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,C,ok,,512.0,517.0,21.0,27.0,1077.0,0.4975704567541302,,0.9606003752345216,,0.6555697823303457,,0.8098702942106928,,0.4948932219127205,0.4336118848653668,,-0.2090359800842514,,0.9554317548746518,31.0,0.0,513.0,48.0,461.0,1028.0,72.0,1.0,0.0,0.0,0.27639707946456354
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,D,ok,,473.0,442.0,60.0,102.0,1077.0,0.5169398907103825,,0.8874296435272045,,0.6533149171270718,,0.776173285198556,,0.4948932219127205,0.47725162488393685,,-0.1266175966315659,,0.8495821727019499,31.0,0.0,513.0,162.0,461.0,913.0,72.0,2.0,0.0,0.0,0.25493781289350353
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,persistence,ok,,385.0,194.0,148.0,350.0,1077.0,0.6649395509499136,,0.7223264540337712,,0.6924460431654677,,0.7100700848395426,,0.4948932219127205,0.5450324976787372,,,not applicable: phase-only baseline,,,,,,,,,,,,
2025,12,persistence_subset,1077,889,2025-04;2025-07;2025-10,58564409541f8097bedcced973956a8cd17d81be67d6b4115c43b89f8239374e,always_crisis,ok,,533.0,544.0,0.0,0.0,1077.0,0.4948932219127205,,1.0,,0.662111801242236,,0.8304767840448738,,0.4948932219127205,,not applicable: binary-only reference,,not applicable: binary-only reference,,,,,,,,,,,,
2026,0,primary,904,904,2026-04,7c175da4a147aca22270ded7cfcee26cec4a6a022d0cb41050e5a7bc18066f0d,A,ok,,541.0,363.0,0.0,0.0,904.0,0.5984513274336283,,1.0,,0.7487889273356402,,0.8816818774445893,,0.5984513274336283,0.38716814159292035,,-0.08459854258638977,,1.0,0.0,0.0,363.0,0.0,350.0,904.0,191.0,0.0,0.0,0.0,0.32918055096756565
2026,0,primary,904,904,2026-04,7c175da4a147aca22270ded7cfcee26cec4a6a022d0cb41050e5a7bc18066f0d,B,ok,,541.0,363.0,0.0,0.0,904.0,0.5984513274336283,,1.0,,0.7487889273356402,,0.8816818774445893,,0.5984513274336283,0.38827433628318586,,-0.1169083762457146,,1.0,0.0,0.0,363.0,0.0,350.0,903.0,191.0,1.0,0.0,0.0,0.3330257105913046
