test_year,horizon,cohort,contrast,point_delta_f2_before,ci_low_before,ci_high_before,point_delta_f2_after,ci_low_after,ci_high_after
2026,0,primary,B-A,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,primary,C-B,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,primary,D-C,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331
2026,0,primary,A-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,primary,B-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,primary,C-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,primary,D-always_crisis,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331
2026,0,persistence_subset,A-persistence,0.0532795105806839,0.0254878270102811,0.0824773235856126,0.0532795105806839,0.0254878270102811,0.0824773235856126
2026,0,persistence_subset,B-persistence,0.0532795105806839,0.0254878270102811,0.0824773235856126,0.0532795105806839,0.0254878270102811,0.0824773235856126
2026,0,persistence_subset,C-persistence,0.0532795105806839,0.0254878270102811,0.0824773235856126,0.0532795105806839,0.0254878270102811,0.0824773235856126
2026,0,persistence_subset,D-persistence,0.0377261228770969,0.0138925224689926,0.063672772187116,0.0377261228770969,0.0138925224689926,0.063672772187116
2026,0,persistence_subset,A-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,persistence_subset,B-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,persistence_subset,C-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,0,persistence_subset,D-always_crisis,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331,-0.0155533877035869,-0.0305603417732247,-0.0019014556942331
2026,12,primary,B-A,0.0876938576138722,0.0295209520152264,0.1541915312302354,0.0876938576138722,0.0295209520152264,0.1541915312302354
2026,12,primary,C-B,-0.0326023391812866,-0.071554963556042,-0.0028353625541125,-0.0326023391812866,-0.071554963556042,-0.0028353625541125
2026,12,primary,D-C,-0.0260624679979518,-0.0812072487912149,0.0288702593590601,-0.0260624679979518,-0.0812072487912149,0.0288702593590601
2026,12,primary,A-always_crisis,-0.0876938576138722,-0.1541915312302355,-0.0295209520152265,-0.0876938576138722,-0.1541915312302355,-0.0295209520152265
2026,12,primary,B-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,12,primary,C-always_crisis,-0.0326023391812866,-0.071554963556042,-0.0028353625541125,-0.0326023391812866,-0.071554963556042,-0.0028353625541125
2026,12,primary,D-always_crisis,-0.0586648071792385,-0.1176418779549157,-0.0066428440535093,-0.0586648071792385,-0.1176418779549157,-0.0066428440535093
2026,12,persistence_subset,A-persistence,0.1903844615261528,0.0721437608021009,0.3159010401536726,0.1903844615261528,0.0721437608021009,0.3159010401536726
2026,12,persistence_subset,B-persistence,0.2780783191400251,0.1759446664498321,0.3862565007907519,0.2780783191400251,0.1759446664498321,0.3862565007907519
2026,12,persistence_subset,C-persistence,0.2454759799587385,0.1305784534423687,0.3544360729076753,0.2454759799587385,0.1305784534423687,0.3544360729076753
2026,12,persistence_subset,D-persistence,0.2194135119607866,0.1220893797437417,0.3199850597109562,0.2194135119607866,0.1220893797437417,0.3199850597109562
2026,12,persistence_subset,A-always_crisis,-0.0876938576138722,-0.1541915312302355,-0.0295209520152265,-0.0876938576138722,-0.1541915312302355,-0.0295209520152265
2026,12,persistence_subset,B-always_crisis,0.0,0.0,0.0,0.0,0.0,0.0
2026,12,persistence_subset,C-always_crisis,-0.0326023391812866,-0.071554963556042,-0.0028353625541125,-0.0326023391812866,-0.071554963556042,-0.0028353625541125
2026,12,persistence_subset,D-always_crisis,-0.0586648071792385,-0.1176418779549157,-0.0066428440535093,-0.0586648071792385,-0.1176418779549157,-0.0066428440535093
