job_id,view,target,bundle,kind,n_rows,path,sha256,feature_order_sha256
y2026_h00_o2026-04,D_residual,q3_residual_delta,X1,xgboost,3548,y2026_h00_o2026-04_D_residual_q3_residual_delta.ubj,40fd16eb94fa22445d67901a9c229ae5f13deb574d153e5fad9aebaa3adf89f0,20aedc4fd3ebf16a2fe9a116ca1b4483a286d6faf7546c37a5d66a986ab38c4d
y2025_h03_o2025-01,A,q2,X3,xgboost,3057,y2025_h03_o2025-01_A_q2.ubj,36a5bebd62c695f96100e9219a162b440ee0ee7db7f70023ff01a30783fdbe0c,83a39bf113af39ea91290a70a6104152b711db819dcd0ad64d3220301d883db9
y2025_h03_o2025-01,A,q4,X3,xgboost,3057,y2025_h03_o2025-01_A_q4.ubj,c7a29a1b51970620a51019b517d87b4f88688387079a13b79ed160992c1f5be6,83a39bf113af39ea91290a70a6104152b711db819dcd0ad64d3220301d883db9
y2025_h03_o2025-01,A,q5,X3,xgboost,3057,y2025_h03_o2025-01_A_q5.ubj,fc5f1760ce9bdc746784e8d025a8ea70c270501d1107921a3eb2204703bf0e05,83a39bf113af39ea91290a70a6104152b711db819dcd0ad64d3220301d883db9
y2025_h03_o2025-01,A,q3_direct,X3,xgboost,3057,y2025_h03_o2025-01_A_q3_direct.ubj,f0c5200527664e7dc1e5283ace37b4a12f0e085670aa627def32b4ab586cfc2c,83a39bf113af39ea91290a70a6104152b711db819dcd0ad64d3220301d883db9
y2025_h03_o2025-01,B,q2,X1,xgboost,3057,y2025_h03_o2025-01_B_q2.ubj,f88e868b8995c8ee4cfaa5d7cf6d94c1993bc9ad457eae500b9bfc3f0850b523,a38bd0c2160e62e9f8501961e853fe4327dcd1d907827ca3d8209825fa739c34
y2025_h03_o2025-01,B,q4,X1,xgboost,3057,y2025_h03_o2025-01_B_q4.ubj,1f8b6969e38db48d8967af53d27ce8c1cb4fc09147a1c139039f865f4100ff99,a38bd0c2160e62e9f8501961e853fe4327dcd1d907827ca3d8209825fa739c34
y2025_h03_o2025-01,B,q5,X1,xgboost,3057,y2025_h03_o2025-01_B_q5.ubj,e0aefea77c5a2ec101649215c6bd698c4fc7003e916120015ef6f4339c87ed16,a38bd0c2160e62e9f8501961e853fe4327dcd1d907827ca3d8209825fa739c34
y2025_h03_o2025-01,B,q3_direct,X1,xgboost,3057,y2025_h03_o2025-01_B_q3_direct.ubj,224e768e80246122e7260ff0a43628328e31f8a3e623a7b50963c45b01fad6a0,a38bd0c2160e62e9f8501961e853fe4327dcd1d907827ca3d8209825fa739c34
y2025_h03_o2025-01,C,q2,X1,xgboost,3057,y2025_h03_o2025-01_C_q2.ubj,fe92252f4046b6c1a3312be9d85b056353938f728677c6f1f4ad6de22e99447c,789f7d3b241dddf3b868ba2358110b2a75dbcbfe68f01f896cef4368eecedf39
y2025_h03_o2025-01,C,q4,X1,xgboost,3057,y2025_h03_o2025-01_C_q4.ubj,b8a716f0f3fc1a84c3b7d37b55cb7381bbd456260270149042fe8c29eed3c149,789f7d3b241dddf3b868ba2358110b2a75dbcbfe68f01f896cef4368eecedf39
